Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,36,67876,0133892,San Bernardino,San Bernardino City Unified,Ballington Academy for the Arts and Sciences - San Bernardino,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1795,Directly funded,Y,K,5,58,56,96.6%,56,96.6%,50,48,96.0%,48,96.0%,Y
2016-2017,36,67876,3630043,San Bernardino,San Bernardino City Unified,Carmack,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,8,67,49,73.1%,59,88.1%,67,49,73.1%,59,88.1%,Y
2016-2017,36,67876,3630308,San Bernardino,San Bernardino City Unified,San Andreas High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,10,12,520,422,81.2%,454,87.3%,414,337,81.4%,363,87.7%,Y
2016-2017,36,67876,3630548,San Bernardino,San Bernardino City Unified,Alternative Learning Center,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,29,21,72.4%,22,75.9%,23,17,73.9%,18,78.3%,Y
2016-2017,36,67876,3630993,San Bernardino,San Bernardino City Unified,Provisional Accelerated Learning Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0335,Directly funded,Y,9,12,180,149,82.8%,151,83.9%,135,117,86.7%,119,88.1%,Y
2016-2017,36,67876,3631082,San Bernardino,San Bernardino City Unified,Arroyo Valley High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2605,1921,73.7%,2099,80.6%,2511,1854,73.8%,2027,80.7%,Y
2016-2017,36,67876,3631090,San Bernardino,San Bernardino City Unified,Middle College High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,288,178,61.8%,227,78.8%,280,174,62.1%,221,78.9%,Y
2016-2017,36,67876,3632221,San Bernardino,San Bernardino City Unified,Cajon High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2820,1569,55.6%,2063,73.2%,2732,1517,55.5%,2001,73.2%,Y
2016-2017,36,67876,3632809,San Bernardino,San Bernardino City Unified,Sierra High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,394,312,79.2%,325,82.5%,315,250,79.4%,260,82.5%,Y
2016-2017,36,67876,3634680,San Bernardino,San Bernardino City Unified,Pacific High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1314,1001,76.2%,1089,82.9%,1236,942,76.2%,1025,82.9%,Y
2016-2017,36,67876,3635844,San Bernardino,San Bernardino City Unified,San Bernardino High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1572,1245,79.2%,1362,86.6%,1514,1200,79.3%,1308,86.4%,Y
2016-2017,36,67876,3636081,San Bernardino,San Bernardino City Unified,San Gorgonio High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2076,1525,73.5%,1805,86.9%,2003,1472,73.5%,1741,86.9%,Y
2016-2017,36,67876,6036750,San Bernardino,San Bernardino City Unified,Ramona-Alessandro Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,605,484,80.0%,544,89.9%,605,484,80.0%,544,89.9%,Y
2016-2017,36,67876,6036768,San Bernardino,San Bernardino City Unified,Arrowhead Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,315,275,87.3%,298,94.6%,315,275,87.3%,298,94.6%,Y
2016-2017,36,67876,6036776,San Bernardino,San Bernardino City Unified,Barton Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,500,418,83.6%,438,87.6%,500,418,83.6%,438,87.6%,Y
2016-2017,36,67876,6036784,San Bernardino,San Bernardino City Unified,Belvedere Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,681,429,63.0%,545,80.0%,671,423,63.0%,537,80.0%,Y
2016-2017,36,67876,6036792,San Bernardino,San Bernardino City Unified,Bradley Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,545,490,89.9%,528,96.9%,532,478,89.8%,516,97.0%,Y
2016-2017,36,67876,6036800,San Bernardino,San Bernardino City Unified,Captain Leland Norton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,544,473,86.9%,494,90.8%,532,466,87.6%,487,91.5%,Y
2016-2017,36,67876,6036826,San Bernardino,San Bernardino City Unified,Manuel A. Salinas Creative Arts Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,557,463,83.1%,517,92.8%,540,449,83.1%,501,92.8%,Y
2016-2017,36,67876,6036834,San Bernardino,San Bernardino City Unified,Cole Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,422,348,82.5%,385,91.2%,410,337,82.2%,373,91.0%,Y
2016-2017,36,67876,6036842,San Bernardino,San Bernardino City Unified,Cypress Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,622,514,82.6%,566,91.0%,621,513,82.6%,565,91.0%,Y
2016-2017,36,67876,6036859,San Bernardino,San Bernardino City Unified,Davidson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,494,396,80.2%,447,90.5%,494,396,80.2%,447,90.5%,Y
2016-2017,36,67876,6036867,San Bernardino,San Bernardino City Unified,Del Rosa Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,563,493,87.6%,525,93.3%,563,493,87.6%,525,93.3%,Y
2016-2017,36,67876,6036883,San Bernardino,San Bernardino City Unified,Fairfax Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,351,322,91.7%,338,96.3%,351,322,91.7%,338,96.3%,Y
2016-2017,36,67876,6036909,San Bernardino,San Bernardino City Unified,Hillside Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,745,563,75.6%,646,86.7%,745,563,75.6%,646,86.7%,Y
2016-2017,36,67876,6036917,San Bernardino,San Bernardino City Unified,Hunt Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,640,595,93.0%,622,97.2%,615,572,93.0%,598,97.2%,Y
2016-2017,36,67876,6036933,San Bernardino,San Bernardino City Unified,Kendall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,420,293,69.8%,352,83.8%,420,293,69.8%,352,83.8%,Y
2016-2017,36,67876,6036941,San Bernardino,San Bernardino City Unified,Lankershim Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,764,670,87.7%,704,92.1%,755,664,87.9%,696,92.2%,Y
2016-2017,36,67876,6036958,San Bernardino,San Bernardino City Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,828,755,91.2%,791,95.5%,828,755,91.2%,791,95.5%,Y
2016-2017,36,67876,6036974,San Bernardino,San Bernardino City Unified,Lytle Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,653,569,87.1%,621,95.1%,644,561,87.1%,613,95.2%,Y
2016-2017,36,67876,6036982,San Bernardino,San Bernardino City Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,426,343,80.5%,378,88.7%,414,334,80.7%,368,88.9%,Y
2016-2017,36,67876,6036990,San Bernardino,San Bernardino City Unified,Anderson,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,106,58,54.7%,78,73.6%,61,33,54.1%,44,72.1%,Y
2016-2017,36,67876,6037014,San Bernardino,San Bernardino City Unified,Monterey Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,522,461,88.3%,488,93.5%,522,461,88.3%,488,93.5%,Y
2016-2017,36,67876,6037022,San Bernardino,San Bernardino City Unified,Mt. Vernon Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,555,492,88.6%,524,94.4%,541,479,88.5%,511,94.5%,Y
2016-2017,36,67876,6037030,San Bernardino,San Bernardino City Unified,Howard Inghram Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,339,301,88.8%,322,95.0%,326,290,89.0%,310,95.1%,Y
2016-2017,36,67876,6037048,San Bernardino,San Bernardino City Unified,Muscoy Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,788,684,86.8%,746,94.7%,788,684,86.8%,746,94.7%,Y
2016-2017,36,67876,6037055,San Bernardino,San Bernardino City Unified,Newmark Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,415,337,81.2%,380,91.6%,404,326,80.7%,369,91.3%,Y
2016-2017,36,67876,6037063,San Bernardino,San Bernardino City Unified,Highland Pacific Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,346,263,76.0%,298,86.1%,335,256,76.4%,289,86.3%,Y
2016-2017,36,67876,6037071,San Bernardino,San Bernardino City Unified,Parkside Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,550,400,72.7%,476,86.5%,539,393,72.9%,466,86.5%,Y
2016-2017,36,67876,6037097,San Bernardino,San Bernardino City Unified,Riley Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,620,570,91.9%,601,96.9%,612,562,91.8%,593,96.9%,Y
2016-2017,36,67876,6037105,San Bernardino,San Bernardino City Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,417,353,84.7%,381,91.4%,412,349,84.7%,376,91.3%,Y
2016-2017,36,67876,6037113,San Bernardino,San Bernardino City Unified,Roosevelt Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,3,663,552,83.3%,603,91.0%,644,537,83.4%,587,91.1%,Y
2016-2017,36,67876,6037139,San Bernardino,San Bernardino City Unified,Thompson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,604,420,69.5%,503,83.3%,593,412,69.5%,495,83.5%,Y
2016-2017,36,67876,6037147,San Bernardino,San Bernardino City Unified,Urbita Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,523,401,76.7%,463,88.5%,523,401,76.7%,463,88.5%,Y
2016-2017,36,67876,6037154,San Bernardino,San Bernardino City Unified,Vermont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,763,667,87.4%,733,96.1%,763,667,87.4%,733,96.1%,Y
2016-2017,36,67876,6037162,San Bernardino,San Bernardino City Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,565,513,90.8%,543,96.1%,553,503,91.0%,533,96.4%,Y
2016-2017,36,67876,6037170,San Bernardino,San Bernardino City Unified,Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,522,428,82.0%,478,91.6%,522,428,82.0%,478,91.6%,Y
2016-2017,36,67876,6059489,San Bernardino,San Bernardino City Unified,Del Vallejo Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,562,472,84.0%,504,89.7%,562,472,84.0%,504,89.7%,Y
2016-2017,36,67876,6059505,San Bernardino,San Bernardino City Unified,Golden Valley Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,843,673,79.8%,755,89.6%,843,673,79.8%,755,89.6%,Y
2016-2017,36,67876,6059513,San Bernardino,San Bernardino City Unified,Richardson Prep Hi,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,617,384,62.2%,496,80.4%,617,384,62.2%,496,80.4%,Y
2016-2017,36,67876,6061907,San Bernardino,San Bernardino City Unified,Arrowview Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,1111,939,84.5%,999,89.9%,1111,939,84.5%,999,89.9%,Y
2016-2017,36,67876,6061915,San Bernardino,San Bernardino City Unified,Curtis Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,7,8,818,720,88.0%,767,93.8%,818,720,88.0%,767,93.8%,Y
2016-2017,36,67876,6061923,San Bernardino,San Bernardino City Unified,Martin Luther King Jr. Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,7,8,701,604,86.2%,647,92.3%,701,604,86.2%,647,92.3%,Y
2016-2017,36,67876,6067078,San Bernardino,San Bernardino City Unified,Kimbark Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,343,184,53.6%,230,67.1%,343,184,53.6%,230,67.1%,Y
2016-2017,36,67876,6067086,San Bernardino,San Bernardino City Unified,North Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,528,325,61.6%,433,82.0%,516,316,61.2%,423,82.0%,Y
2016-2017,36,67876,6068191,San Bernardino,San Bernardino City Unified,Emmerton Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,3,523,447,85.5%,489,93.5%,510,435,85.3%,477,93.5%,Y
2016-2017,36,67876,6068209,San Bernardino,San Bernardino City Unified,Oehl Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,572,436,76.2%,486,85.0%,572,436,76.2%,486,85.0%,Y
2016-2017,36,67876,6068712,San Bernardino,San Bernardino City Unified,Serrano Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,839,670,79.9%,764,91.1%,839,670,79.9%,764,91.1%,Y
2016-2017,36,67876,6068720,San Bernardino,San Bernardino City Unified,Shandin Hills Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,816,649,79.5%,746,91.4%,816,649,79.5%,746,91.4%,Y
2016-2017,36,67876,6098560,San Bernardino,San Bernardino City Unified,Yvonne Harmon,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,8,28,18,64.3%,20,71.4%,17,10,58.8%,11,64.7%,Y
2016-2017,36,67876,6109714,San Bernardino,San Bernardino City Unified,E. Neal Roberts Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,499,455,91.2%,475,95.2%,494,451,91.3%,471,95.3%,Y
2016-2017,36,67876,6110480,San Bernardino,San Bernardino City Unified,North Verdemont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,570,273,47.9%,372,65.3%,554,265,47.8%,363,65.5%,Y
2016-2017,36,67876,6112767,San Bernardino,San Bernardino City Unified,Palm Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,644,294,45.7%,416,64.6%,644,294,45.7%,416,64.6%,Y
2016-2017,36,67876,6114763,San Bernardino,San Bernardino City Unified,STAR at Anderson Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,K,6,17,17,100.0%,17,100.0%,17,17,100.0%,17,100.0%,Y
2016-2017,36,67892,0134247,San Bernardino,Trona Joint Unified,California STEAM San Bernardino,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1824,Directly funded,Y,K,12,679,463,68.2%,533,78.5%,643,443,68.9%,511,79.5%,Y
2016-2017,36,67892,3636487,San Bernardino,Trona Joint Unified,Trona High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,117,75,64.1%,80,68.4%,112,70,62.5%,75,67.0%,Y
2016-2017,36,67892,6037188,San Bernardino,Trona Joint Unified,Trona Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,153,96,62.7%,108,70.6%,153,96,62.7%,108,70.6%,Y
2016-2017,36,67918,0000001,San Bernardino,Victor Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,2,28.6%,2,28.6%,7,2,28.6%,2,28.6%,Y
2016-2017,36,67918,0106641,San Bernardino,Victor Elementary,Challenger School of Sports and Fitness,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,984,751,76.3%,856,87.0%,963,736,76.4%,838,87.0%,Y
2016-2017,36,67918,0108431,San Bernardino,Victor Elementary,Galileo Academy 101,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,670,419,62.5%,480,71.6%,663,415,62.6%,476,71.8%,Y
2016-2017,36,67918,0108449,San Bernardino,Victor Elementary,Endeavour School of Exploration,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,710,250,35.2%,324,45.6%,701,246,35.1%,320,45.6%,Y
2016-2017,36,67918,0113779,San Bernardino,Victor Elementary,West Palms Conservatory,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,693,387,55.8%,476,68.7%,686,384,56.0%,472,68.8%,Y
2016-2017,36,67918,6037329,San Bernardino,Victor Elementary,Del Rey Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,684,645,94.3%,669,97.8%,673,636,94.5%,660,98.1%,Y
2016-2017,36,67918,6037352,San Bernardino,Victor Elementary,Irwin Academy of Performing Arts,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,729,620,85.0%,654,89.7%,720,612,85.0%,646,89.7%,Y
2016-2017,36,67918,6037360,San Bernardino,Victor Elementary,Park View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,872,723,82.9%,769,88.2%,861,713,82.8%,758,88.0%,Y
2016-2017,36,67918,6037386,San Bernardino,Victor Elementary,Village Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,957,792,82.8%,875,91.4%,948,786,82.9%,866,91.4%,Y
2016-2017,36,67918,6101927,San Bernardino,Victor Elementary,Sixth Street Prep,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,0309,Locally funded,N,K,6,236,151,64.0%,184,78.0%,230,148,64.3%,181,78.7%,Y
2016-2017,36,67918,6105860,San Bernardino,Victor Elementary,Liberty Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,1018,829,81.4%,905,88.9%,997,814,81.6%,890,89.3%,Y
2016-2017,36,67918,6106587,San Bernardino,Victor Elementary,Mojave Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,1034,880,85.1%,944,91.3%,1019,869,85.3%,931,91.4%,Y
2016-2017,36,67918,6109219,San Bernardino,Victor Elementary,Lomitas Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,804,642,79.9%,694,86.3%,796,637,80.0%,689,86.6%,Y
2016-2017,36,67918,6109227,San Bernardino,Victor Elementary,Puesta del Sol Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,687,602,87.6%,637,92.7%,679,595,87.6%,629,92.6%,Y
2016-2017,36,67918,6110522,San Bernardino,Victor Elementary,Green Tree East Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,647,607,93.8%,623,96.3%,635,595,93.7%,611,96.2%,Y
2016-2017,36,67918,6113757,San Bernardino,Victor Elementary,Brentwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,918,801,87.3%,854,93.0%,906,791,87.3%,843,93.0%,Y
2016-2017,36,67918,6117766,San Bernardino,Victor Elementary,Discovery School of the Arts,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,916,531,58.0%,639,69.8%,904,525,58.1%,633,70.0%,Y
2016-2017,36,67918,6118350,San Bernardino,Victor Elementary,Mountain View Montessori Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,0296,Locally funded,N,K,6,185,93,50.3%,109,58.9%,183,92,50.3%,108,59.0%,Y
2016-2017,36,67934,0000001,San Bernardino,Victor Valley Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.0%,0,0.0%,2,0,0.0%,0,0.0%,Y
2016-2017,36,67934,0110064,San Bernardino,Victor Valley Union High,University Preparatory,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,1125,573,50.9%,804,71.5%,1121,571,50.9%,802,71.5%,Y
2016-2017,36,67934,0125419,San Bernardino,Victor Valley Union High,Adelanto High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1797,1334,74.2%,1494,83.1%,1719,1279,74.4%,1431,83.2%,Y
2016-2017,36,67934,3630100,San Bernardino,Victor Valley Union High,Goodwill High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,185,141,76.2%,149,80.5%,159,122,76.7%,129,81.1%,Y
